timestep,timestamp,error,lap_number
1,0.004909992218017578,0.17187499999998934,1
2,0.11475801467895508,0.17187499999998934,1
3,0.22262907028198242,0.2138049450549353,1
4,0.3320579528808594,0.2578182234432127,1
5,0.4410209655761719,0.2061355311355264,1
6,0.5490360260009766,0.17836538461537188,1
7,0.6572201251983643,0.21614010989010524,1
8,0.7623178958892822,0.2872710622710528,1
9,0.9761457443237305,0.38341346153845635,1
10,1.0821020603179932,0.7049908424908367,1
11,1.1874768733978271,0.9321543040292894,1
12,1.295417070388794,1.1814102564102456,1
13,1.4044311046600342,1.6027014652014486,1
14,1.513477087020874,1.9942765567765477,1
15,1.62247896194458,2.433127289377275,1
16,1.72642183303833,3.067113095238078,1
17,1.831618070602417,3.560428113553087,1
18,2.0425660610198975,4.116002747252722,1
19,2.152341842651367,5.481467490842483,1
20,2.2614991664886475,6.161355311355294,1
21,2.370994806289673,7.837957875457853,1
22,2.480036973953247,10.527941849816827,1
23,2.5887458324432373,10.64021291208789,1
24,2.696690797805786,9.082566391941363,1
25,2.8061511516571045,8.252541208791193,1
26,2.9143688678741455,7.924954212454196,1
27,3.023736000061035,7.9061355311355115,1
28,3.132244825363159,8.06560210622709,1
29,3.2400407791137695,8.320936355311346,1
30,3.3488380908966064,8.74080815018312,1
31,3.4572558403015137,8.99971382783881,1
32,3.565020799636841,9.290430402930383,1
33,3.67500901222229,9.712625915750898,1
34,3.782674789428711,10.127701465201447,1
35,3.8911311626434326,10.589262820512808,1
36,4.000482082366943,11.275515109890087,1
37,4.108438968658447,11.831227106227075,1
38,4.217335939407349,12.642181776556754,1
39,4.3253560066223145,13.252048992673963,1
40,4.432951927185059,14.846291208791186,1
41,4.54105806350708,17.335050366300358,1
42,4.64794397354126,17.40792124542122,1
43,4.756038188934326,18.36153846153845,1
44,4.967292070388794,20.173832417582403,1
45,5.073426961898804,16.875835622710603,1
46,5.182354927062988,12.992239010988989,1
47,5.289907932281494,10.397561813186812,1
48,5.399180889129639,4.485325091575056,1
49,5.506371974945068,0.09736721611722743,1
50,5.611300945281982,1.2630151098901266,1
51,5.720358848571777,0.2924908424908246,1
52,5.824678897857666,3.1145260989010737,1
