timestep,timestamp,error,lap_number
1,0.0029959678649902344,0.17187499999998934,1
2,0.11235499382019043,0.17187499999998934,1
3,0.22008490562438965,0.19577609890107794,1
4,0.3284149169921875,0.2075434981684836,1
5,0.43611788749694824,0.17861721611720682,1
6,0.5439250469207764,0.17836538461537188,1
7,0.6474239826202393,0.20104166666665435,1
8,0.7577810287475586,0.2509271978021772,1
9,0.9669430255889893,0.30132783882782377,1
10,1.0728890895843506,0.5253434065933931,1
11,1.1790990829467773,0.6373969780219682,1
12,1.287444829940796,0.7720695970695814,1
13,1.3950891494750977,0.9916666666666529,1
14,1.5048408508300781,1.2126144688644516,1
15,1.6124651432037354,1.4506982600732456,1
16,1.7169830799102783,1.8034455128205025,1
17,1.8267149925231934,2.118853021978005,1
18,2.0379061698913574,2.449370421245405,1
19,2.1465389728546143,3.2517857142857025,1
20,2.2558090686798096,3.636824633699618,1
21,2.363574981689453,4.046817765567745,1
22,2.472338914871216,4.616632326007306,1
23,2.58046293258667,5.118624084249063,1
24,2.685542106628418,6.406124084249058,1
25,2.7935678958892822,7.91363324175822,1
26,2.903151035308838,7.827941849816838,1
27,3.110255002975464,7.110702838827827,1
28,3.216158866882324,5.675469322344313,1
29,3.3224449157714844,6.176064560439535,1
30,3.4267239570617676,6.862854853479831,1
31,3.535504102706909,7.324519230769205,1
32,3.638638973236084,7.732451923076908,1
33,3.7477080821990967,7.993395146520129,1
34,3.855747938156128,8.2935096153846,1
35,3.963434934616089,8.857646520146496,1
36,4.072893857955933,9.32093635531134,1
37,4.283955812454224,9.769230769230745,1
38,4.3870649337768555,12.503869047619034,1
39,4.4964940547943115,12.362499999999983,1
40,4.600915908813477,11.668189102564085,1
41,4.708621978759766,10.346256868131846,1
42,4.817149877548218,10.21415979853478,1
43,4.926330089569092,10.740041208791197,1
44,5.032588005065918,11.357486263736234,1
45,5.141761064529419,11.919505494505486,1
46,5.350210905075073,12.17290521978019,1
47,5.45868992805481,12.794963369963341,1
48,5.567058801651001,13.203571428571394,1
49,5.675902843475342,13.674599358974334,1
50,5.780448913574219,14.092822802197787,1
51,5.883417129516602,14.741826923076907,1
52,5.9907848834991455,15.998958333333306,1
53,6.096849203109741,17.264377289377265,1
54,6.1985368728637695,19.17111950549448,1
55,6.41235613822937,20.7164835164835,1
56,6.517775058746338,17.05717719780219,1
57,6.6253979206085205,14.450091575091548,1
58,6.733824968338013,11.973271520146497,1
59,6.843142032623291,7.078949175824157,1
60,6.945055961608887,4.066609432234415,1
61,7.051181077957153,3.9818795787545653,1
62,7.157505989074707,5.359535256410247,1
63,7.26639986038208,7.590991300366277,1
64,7.3722968101501465,8.940373168498141,1
65,7.478473901748657,8.17819368131866,1
66,7.587738990783691,7.016151556776535,1
67,7.696315050125122,5.826087454212434,1
68,7.806272983551025,5.635588369963344,1
69,7.915689945220947,6.136675824175811,1
70,8.022466897964478,6.767880036630018,1
71,8.125932931900024,7.313885073260053,1
72,8.340784072875977,7.528102106227081,1
73,8.449234962463379,8.011652930402917,1
74,8.559004068374634,8.559569597069576,1
75,8.668190002441406,9.029876373626351,1
76,8.776253938674927,9.493051739926713,1
77,8.88082504272461,11.236607142857117,1
78,8.989960193634033,12.254292582417555,1
79,9.098762035369873,12.095844780219764,1
80,9.208722114562988,11.125641025641002,1
81,9.421536922454834,10.254487179487164,1
82,9.52804708480835,10.542719780219755,1
83,9.637871026992798,11.058974358974346,1
84,9.746403932571411,11.457864010988985,1
85,9.852411985397339,11.771955128205107,1
86,9.957792043685913,11.98693910256408,1
87,10.067485809326172,12.278308150183122,1
88,10.175163984298706,12.625366300366267,1
89,10.284296989440918,13.187694597069566,1
90,10.498795986175537,13.596382783882767,1
91,10.606802225112915,14.671096611721588,1
92,10.715053081512451,15.158104395604369,1
93,10.820089101791382,16.526076007325983,1
94,10.927634000778198,19.49621108058607,1
95,11.033844947814941,21.339251373626347,1
96,11.139036178588867,21.158699633699612,1
97,11.245790004730225,19.018086080586066,1
98,11.35545802116394,15.137271062271033,1
99,11.567772150039673,12.95147664835163,1
100,11.673455953598022,10.223214285714263,1
101,11.779857158660889,3.856307234432208,1
102,11.889225959777832,1.5232944139193947,1
103,11.9968900680542,2.8472184065933845,1
104,12.105549097061157,5.666609432234409,1
105,12.214664936065674,5.814995421245413,1
106,12.320420026779175,4.6916323260073085,1
107,12.42443299293518,2.679773351648336,1
108,12.635621070861816,2.3994505494505347,1
109,12.74202299118042,3.750286172161161,1
110,12.847591876983643,4.39687499999998,1
111,12.956512928009033,4.5813072344322165,1
112,13.063567161560059,4.741494963369945,1
113,13.171024084091187,5.04218177655676,1
114,13.276392936706543,5.574542124542113,1
115,13.383705139160156,6.067811355311335,1
116,13.493863821029663,6.555242673992652,1
117,13.60251784324646,7.826053113553087,1
118,13.710174798965454,9.366517857142817,1
